Ward_Name,Zone,surface_temp,urban_index,veg_index,water_index,health_score,city_rank
Byrasandra,South,36.17386400372416,-0.0119467963578158,0.1204126265505021,-0.1264655787615373,55.74,55
Mahalakshimpuram,West,36.42680590742726,-0.0120971202472243,0.1083211167513636,-0.11508199240434,55.27,56
Devara Jeevanahalli,East,36.78942088445497,-0.0236569128717809,0.1747698828074906,-0.1686006706711925,55.14,57
Banasavadi,East,35.61616193122277,-0.0080301569836455,0.1172217851293656,-0.1312137258151893,54.97,58
Jakkasandra,South,36.40317010238317,-0.0157793215698942,0.1420282869563994,-0.1458335170729064,54.19,59
Rajaji Nagar,West,36.47508665645238,-0.0116074926710249,0.1206923040192473,-0.1255224226280002,54.01,60
Jaraganahalli,Bommanahalli,35.58746564732957,0.0045922483307554,0.0691946299293277,-0.0865463586573662,54.0,61
Benniganahalli,East,35.48981708578413,-0.0090116409629354,0.1470617189457964,-0.1577528649591663,53.99,62
S K Garden,East,36.188509012983126,-0.0161784556946299,0.1668616337205966,-0.1678671681124992,53.96,63
Dodda Nekkundi,Mahadevapura,35.59192853848438,-0.0080445144166341,0.128082122125742,-0.141978430842455,53.87,64
Vijnana Nagar,Mahadevapura,35.571759786644776,-0.006529243262421,0.1255706447896413,-0.1403480244612297,53.29,65
Maruthi Seva Nagar,East,36.25564982695168,-0.0145575365035532,0.1468693624713921,-0.1530824401610539,53.1,66
BTM Layout,South,36.37963774594325,-0.0105360378392303,0.1153536512706588,-0.1245773421338309,53.06,67
Basaveshwara Nagar,West,36.61966915486652,-0.0131606771031952,0.1174081724784667,-0.1255353195168533,52.8,68
Konankunte,Bommanahalli,35.949828856993165,-0.0081288697818029,0.1213357171260035,-0.1352216348787198,52.31,69
Basavanagudi,South,36.59251682824557,-0.0105481213192887,0.1155077677751895,-0.1239446969490349,51.93,70
Jayachamarajendra Nagar,East,36.18605545033492,-0.0095835510837967,0.1252528282819794,-0.1369016263100186,51.79,71
Govindaraja Nagar,West,36.79266802703975,-0.0115611434765993,0.1143305794097307,-0.1220391886621789,51.47,72
Sunkenahalli,South,36.4276734492438,-0.0081630427312501,0.1140595405950007,-0.1251770378966663,51.09,73
Subramanya Nagar,West,36.13950256456116,-0.0042226846485921,0.1021250493548007,-0.1177697248771075,50.91,74
Lakkasandra,South,37.26553961908976,-0.0134922074443993,0.1163932557115365,-0.119509832206489,50.73,75
Vidyaranyapura,Yelahanka,35.98089437177225,-0.0134917119428156,0.1660181370227156,-0.1783637611164703,49.73,76
Maruthi Mandir ward,West,37.0177958398128,-0.0111665739519078,0.1077606256964743,-0.1178235832425884,49.62,77
Hagadur,Mahadevapura,35.88450325115502,-0.0105669425399253,0.155779415638874,-0.1705614031009253,49.34,78
Sriramamandir,West,37.14894190900645,-0.01165904232746,0.11734614945146,-0.1237644850234261,49.27,79
